"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RBBP5",1.93488654025513e-48,0.604126645062551,0.224,0.723,3.4992423080514e-44,"8","RBBP5"
"DDX19B1",2.24255515348289e-48,0.468548647191423,0.116,0.503,4.05566099507381e-44,"8","DDX19B"
"IFI27L21",2.29621327763276e-48,0.472735124377664,0.187,0.643,4.15270171259885e-44,"8","IFI27L2"
"MAPKBP11",2.45967810948255e-48,0.285446538848657,0.101,0.473,4.4483278609992e-44,"8","MAPKBP1"
"DUSP21",2.47648481361484e-48,0.545578880973755,0.128,0.526,4.47872278542244e-44,"8","DUSP2"
"ANKAR1",2.61692519354831e-48,0.640275591277232,0.109,0.49,4.73270921253212e-44,"8","ANKAR"
"SERAC1",2.80755711474149e-48,0.594938138367874,0.106,0.483,5.07746704200999e-44,"8","SERAC1"
"ZNF1361",2.89754832190653e-48,0.412714959700264,0.094,0.46,5.24021614016795e-44,"8","ZNF136"
"ZNF35",3.09127256106483e-48,0.708173417560342,0.113,0.497,5.59056642668575e-44,"8","ZNF35"
"NECTIN11",3.27474932502267e-48,0.445522058061938,0.084,0.44,5.92238415430351e-44,"8","NECTIN1"
"CCDC71",3.32025529160349e-48,0.75614531325897,0.088,0.447,6.00468169486491e-44,"8","CCDC71"
"CEBPA3",3.3800677813064e-48,0.638409808926002,0.12,0.51,6.11285258249262e-44,"8","CEBPA"
"AGK",3.52508128915213e-48,0.785632135135723,0.157,0.586,6.37510951143163e-44,"8","AGK"
"EID3",3.674968077566e-48,0.390937602521065,0.133,0.536,6.64617976827811e-44,"8","EID3"
"HPS5",3.72940896255941e-48,0.445590703156749,0.237,0.754,6.74463610878869e-44,"8","HPS5"
"UNC93B11",3.77229050657296e-48,0.531115611867677,0.21,0.692,6.8221873811372e-44,"8","UNC93B1"
"USP17L15",3.78218928376458e-48,2.69439380899007,0.648,0.744,6.84008931968825e-44,"8","USP17L15"
"KCNE31",4.42320296909847e-48,0.335290468996936,0.163,0.589,7.99936256961459e-44,"8","KCNE3"
"ZNF7651",4.6506479413641e-48,0.713212884310033,0.153,0.578,8.41069680195698e-44,"8","ZNF765"
"DNAH63",4.67187675532982e-48,0.374399714073792,0.066,0.403,8.44908911201397e-44,"8","DNAH6"
"LHPP1",5.62896849013651e-48,0.503172294161491,0.118,0.505,1.01799895144119e-43,"8","LHPP"
"KIAA09301",5.66512065437334e-48,0.26442245414941,0.271,0.812,1.02453707034342e-43,"8","KIAA0930"
"VAMP21",5.72411858583776e-48,0.362379303087742,0.251,0.778,1.03520684624876e-43,"8","VAMP2"
"PTGES33",6.36652770787029e-48,0.41227796192705,0.061,0.393,1.15138653596834e-43,"8","PTGES3"
"OSBPL11",6.59057628908987e-48,0.341215483413483,0.242,0.768,1.1919057218819e-43,"8","OSBPL11"
"SERPINB8",7.52730302231565e-48,0.698949096017144,0.141,0.553,1.36131275158578e-43,"8","SERPINB8"
"CCNQ1",7.84079478958348e-48,0.358167565301641,0.251,0.77,1.41800773769617e-43,"8","CCNQ"
"ZC3H12D",8.40330247795006e-48,0.546666617727462,0.114,0.495,1.51973725313727e-43,"8","ZC3H12D"
"LTO1",8.84652487721457e-48,0.446209145918108,0.108,0.484,1.59989402404425e-43,"8","LTO1"
"THAP2",8.88431703919854e-48,0.786582662409483,0.148,0.567,1.60672873653906e-43,"8","THAP2"
"H6PD1",8.88607874210634e-48,0.433699216418536,0.104,0.476,1.60704734050993e-43,"8","H6PD"
"IPPK",1.04854449057912e-47,0.664494507049878,0.167,0.604,1.89629271121233e-43,"8","IPPK"
"CTSB",1.11494979498781e-47,1.07014316063502,0.946,0.998,2.01638670423546e-43,"8","CTSB"
"SPI11",1.21060552783456e-47,1.74320102253269,0.712,0.859,2.1893800970888e-43,"8","SPI1"
"ZNF1382",1.29847043849927e-47,0.400876444517311,0.202,0.671,2.34828378802592e-43,"8","ZNF138"
"IRF91",1.4099803151477e-47,0.307540960603934,0.217,0.693,2.54994939994461e-43,"8","IRF9"
"ACER31",1.51079341901359e-47,0.750449185983351,0.178,0.629,2.73226989828607e-43,"8","ACER3"
"ZNF231",1.52608012968674e-47,0.365807000149096,0.091,0.451,2.75991591453846e-43,"8","ZNF23"
"ACSF2",1.68093265519403e-47,0.495826236557203,0.128,0.522,3.0399667069184e-43,"8","ACSF2"
"ABCG53",1.94223227263193e-47,0.625674207093871,0.104,0.476,3.51252706505485e-43,"8","ABCG5"
"KDF13",1.96217343490158e-47,0.605586819559482,0.104,0.477,3.54859065701952e-43,"8","KDF1"
"PAX63",2.1771873089234e-47,0.59901929539342,0.099,0.466,3.93744324818796e-43,"8","PAX6"
"PCNX41",2.21477987605704e-47,0.802109963294495,0.197,0.664,4.00542940584916e-43,"8","PCNX4"
"GLYCTK",2.24826277546666e-47,0.595332501836271,0.185,0.64,4.06598322943145e-43,"8","GLYCTK"
